# Essential functions for archaea
# Based on bacterial core functions plus archaeal-specific processes
# Format: GO_term	category	description
GO:0006259	Core	DNA metabolic process
GO:0006260	Core	DNA replication
GO:0006281	Core	DNA repair
GO:0006351	Core	DNA-templated transcription
GO:0006412	Core	translation
GO:0051301	Core	cell division
GO:0007059	Core	chromosome segregation
GO:0042254	Core	ribosome biogenesis
GO:0006457	Core	protein folding
GO:0015031	Core	protein transport
GO:0016070	Core	RNA metabolic process
GO:0000154	Core	rRNA modification
GO:0006400	Core	tRNA modification
GO:0032774	Core	RNA biosynthetic process
GO:0006508	Core	proteolysis
GO:0008152	Core	metabolic process
GO:0055085	Core	transmembrane transport
GO:0006629	Core	lipid metabolic process
GO:0045454	Core	cell redox homeostasis
GO:0050789	Core	regulation of biological process
GO:0015849	Core	organic acid transport
GO:0006096	Energy Metabolism	glycolytic process
GO:0015948	Archaeal-specific	methanogenesis
GO:0043571	Archaeal-specific	maintenance of CRISPR repeat elements
GO:0006457	Archaeal-specific	protein folding
GO:0043604	Archaeal-specific	amide biosynthetic process
